,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
0,44.0,1,1,0,1,2,0,0,1,2,210.0,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
1,53.0,9,1,7,0,0,0,0,7,0,138.0,1,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
2,28.0,4,2,6,0,2,0,0,4,2,339.0,3,6,2,2,-1.7,94.055,-39.8,0.729,4991.6,1
3,39.0,7,1,3,0,0,0,0,0,0,185.0,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
4,55.0,5,1,0,0,2,0,0,1,0,137.0,1,3,1,2,-2.9,92.201,-31.4,0.869,5076.2,1
5,30.0,4,0,0,0,2,0,0,3,3,68.0,8,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
6,37.0,1,1,0,0,2,0,0,6,2,204.0,1,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,0
7,39.0,1,0,2,0,2,0,0,6,0,191.0,1,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,0
8,36.0,0,1,6,0,0,0,0,4,1,174.0,1,3,1,2,-2.9,92.963,-40.8,1.266,5076.2,1
9,27.0,1,2,0,0,2,0,0,0,2,191.0,2,999,1,0,-1.8,93.075,-47.1,1.41,5099.1,0
10,34.0,3,2,6,0,0,0,1,6,0,62.0,2,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
11,41.0,4,1,6,0,2,0,0,1,2,789.0,1,999,0,1,1.4,93.444,-36.1,4.964,5228.1,0
12,55.0,4,1,6,0,0,0,0,1,1,372.0,3,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
13,33.0,7,0,3,0,2,0,0,6,3,75.0,5,999,0,1,-1.8,92.893,-46.2,1.291,5099.1,0
14,26.0,0,1,3,0,0,2,1,4,1,1021.0,1,999,0,1,1.4,94.465,-41.8,4.96,5228.1,0
15,52.0,7,1,3,1,2,0,0,3,2,117.0,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
16,35.0,7,1,3,0,0,0,0,0,2,1034.0,2,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
17,27.0,0,2,6,0,0,0,1,8,3,540.0,1,999,0,1,-0.1,93.798,-40.4,4.86,5195.8,1
18,28.0,1,1,2,1,0,0,1,6,2,140.0,1,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
19,26.0,10,2,2,0,2,2,0,3,1,104.0,4,999,0,1,1.4,93.918,-42.7,4.96,5228.1,0
20,41.0,10,1,2,1,2,0,1,0,0,246.0,1,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,0
21,35.0,1,2,7,0,0,2,1,4,0,1114.0,1,999,0,1,1.4,94.465,-41.8,4.967,5228.1,0
22,40.0,0,1,6,1,2,0,1,3,4,340.0,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
23,32.0,9,2,5,0,0,0,0,3,2,35.0,1,999,0,1,1.4,93.918,-42.7,4.968,5228.1,0
24,41.0,1,1,3,0,2,2,0,3,2,241.0,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
25,34.0,2,2,6,0,2,0,0,6,3,168.0,2,999,0,1,-1.8,92.893,-46.2,1.344,5099.1,0
26,49.0,9,0,7,0,2,2,0,8,2,81.0,1,999,0,1,-3.4,92.431,-26.9,0.754,5017.5,0
27,37.0,0,1,3,0,2,0,0,0,2,226.0,1,2,1,2,-1.8,93.075,-47.1,1.365,5099.1,0
28,35.0,1,1,1,1,2,0,0,6,0,746.0,2,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,0
29,38.0,1,2,0,1,0,0,1,3,3,41.0,5,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
30,47.0,7,0,3,0,0,0,1,4,3,115.0,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
31,46.0,0,1,6,0,0,0,0,6,2,227.0,2,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,0
32,27.0,9,1,5,0,2,0,0,6,1,275.0,1,999,0,1,-1.8,92.893,-46.2,1.299,5099.1,0
33,29.0,9,1,3,0,2,0,0,4,0,365.0,3,999,0,1,-2.9,92.963,-40.8,1.268,5076.2,1
34,32.0,7,0,2,1,0,0,0,3,4,68.0,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
35,36.0,1,1,1,1,0,0,0,6,4,54.0,1,999,2,0,-1.8,92.893,-46.2,1.334,5099.1,0
36,29.0,1,1,0,0,2,2,0,3,1,93.0,1,999,0,1,1.4,93.918,-42.7,4.96,5228.1,0
37,47.0,9,1,3,1,0,0,0,0,1,267.0,2,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,0
38,44.0,1,1,0,0,2,0,1,4,1,17.0,25,999,0,1,1.4,94.465,-41.8,4.96,5228.1,0
39,54.0,4,1,6,0,2,2,0,1,2,121.0,11,999,0,1,1.4,93.444,-36.1,4.962,5228.1,0
40,36.0,1,1,2,0,0,0,1,6,2,294.0,2,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
41,42.0,1,1,0,0,2,0,1,6,4,24.0,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
42,44.0,1,1,0,0,0,0,0,3,3,345.0,5,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
43,72.0,5,0,1,0,2,0,0,7,4,244.0,2,999,0,1,-3.4,92.649,-30.1,0.715,5017.5,1
44,48.0,1,1,2,1,0,0,0,1,3,213.0,3,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
45,36.0,4,1,3,1,2,0,0,7,2,371.0,1,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,0
46,35.0,3,1,0,0,2,0,0,1,1,87.0,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
47,43.0,2,1,1,0,2,0,0,6,1,195.0,3,999,1,0,-1.8,92.893,-46.2,1.354,5099.1,0
48,56.0,5,1,0,1,2,0,0,1,4,102.0,1,999,0,1,1.4,93.444,-36.1,4.967,5228.1,0
49,42.0,1,1,2,1,2,0,1,4,0,93.0,2,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
50,31.0,0,2,6,0,2,0,0,6,1,244.0,1,999,0,1,-1.8,92.893,-46.2,1.354,5099.1,0
51,32.0,9,1,2,1,0,0,1,4,2,52.0,5,999,0,1,1.4,94.465,-41.8,4.958,5228.1,0
52,33.0,1,1,3,1,2,2,0,6,1,164.0,2,999,1,0,-1.8,92.893,-46.2,1.354,5099.1,0
53,31.0,1,1,1,1,0,0,1,4,4,91.0,4,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
54,39.0,4,1,6,0,2,0,1,6,4,68.0,1,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
55,30.0,1,1,3,0,0,0,1,6,1,122.0,4,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,24.0,4,2,6,0,2,0,0,6,2,45.0,4,999,1,0,-1.8,92.893,-46.2,1.27,5099.1,0
57,24.0,0,1,3,0,0,2,1,6,1,61.0,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
58,38.0,1,1,5,0,2,0,1,6,4,162.0,4,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
59,26.0,1,1,3,0,2,0,1,4,4,126.0,12,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
60,41.0,9,1,5,0,0,0,1,6,3,92.0,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
61,34.0,0,1,3,0,2,2,0,0,0,329.0,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
62,30.0,4,1,6,0,0,0,0,5,1,116.0,1,999,0,1,-1.8,92.843,-50.0,1.811,5099.1,1
63,37.0,0,1,6,0,2,0,0,7,0,450.0,1,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
64,68.0,5,1,0,0,2,0,0,3,4,665.0,1,999,0,1,-2.9,92.469,-33.6,1.029,5076.2,0
65,31.0,0,2,3,0,0,0,0,3,0,168.0,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
66,48.0,9,0,6,0,2,0,0,0,2,132.0,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,0
67,33.0,9,1,5,0,2,0,1,6,1,349.0,4,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
68,59.0,6,2,6,0,2,0,1,6,0,249.0,3,999,0,1,-1.8,92.893,-46.2,1.259,5099.1,0
69,44.0,1,1,7,1,2,0,1,6,3,336.0,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
70,28.0,11,2,7,1,2,0,1,4,2,169.0,1,999,0,1,1.4,94.465,-41.8,4.866,5228.1,0
71,50.0,4,1,6,0,0,0,0,1,3,89.0,3,4,1,2,-2.9,92.201,-31.4,0.883,5076.2,0
72,33.0,2,1,6,0,0,0,0,7,2,55.0,1,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,0
73,45.0,7,1,5,0,2,0,1,6,1,221.0,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
74,40.0,4,1,6,0,0,0,0,3,1,77.0,2,999,0,1,1.4,93.918,-42.7,4.96,5228.1,0
75,45.0,7,1,5,0,0,0,1,1,2,64.0,18,999,0,1,1.4,93.444,-36.1,4.962,5228.1,0
76,43.0,9,0,6,1,0,0,1,6,1,62.0,2,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
77,54.0,1,1,5,1,2,2,1,6,1,198.0,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
78,53.0,9,0,5,0,0,0,1,6,3,249.0,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
79,35.0,6,2,6,0,2,0,0,3,2,106.0,1,999,0,1,1.4,93.918,-42.7,4.968,5228.1,0
80,30.0,9,2,5,0,2,0,0,1,0,445.0,1,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
81,25.0,9,1,5,0,2,0,1,4,4,149.0,2,999,0,1,1.4,94.465,-41.8,4.962,5228.1,0
82,35.0,7,0,5,0,0,2,0,1,2,66.0,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
83,54.0,0,1,6,0,2,0,0,5,1,415.0,1,999,0,1,-1.8,92.843,-50.0,1.56,5099.1,1
84,30.0,1,1,1,0,0,0,0,3,1,173.0,2,999,0,1,1.4,93.918,-42.7,4.96,5228.1,0
85,38.0,0,1,6,1,2,0,0,1,3,173.0,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
86,35.0,0,1,6,0,2,0,0,8,2,86.0,1,999,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
87,47.0,1,1,5,1,2,0,1,6,4,131.0,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
88,32.0,1,2,3,0,2,0,0,3,3,523.0,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
89,27.0,1,1,2,0,2,0,1,6,3,383.0,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
90,40.0,1,1,2,0,1,1,1,7,2,160.0,1,999,0,1,-0.1,93.2,-42.0,4.245,5195.8,1
91,31.0,0,1,3,0,0,0,1,6,1,220.0,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
92,42.0,1,0,2,0,0,0,0,0,1,20.0,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
93,40.0,1,1,1,0,2,0,0,6,2,160.0,4,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,0
94,31.0,0,2,3,0,2,0,0,7,4,79.0,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
95,57.0,9,1,0,1,0,0,1,4,2,243.0,2,999,0,1,1.4,94.465,-41.8,4.958,5228.1,0
96,38.0,0,2,3,0,2,0,0,0,2,882.0,1,6,1,2,-1.8,93.749,-34.6,0.659,5008.7,1
97,39.0,7,1,3,1,0,0,1,6,1,5.0,2,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
98,37.0,0,0,3,1,2,2,1,6,4,354.0,5,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
99,50.0,10,1,5,1,2,2,0,3,2,225.0,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
100,33.0,1,2,0,0,2,2,0,0,2,460.0,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
101,41.0,1,1,1,0,1,1,1,4,3,202.0,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
102,37.0,2,1,1,1,1,1,1,6,0,71.0,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
103,25.0,8,2,3,0,0,0,0,0,4,54.0,1,999,0,1,-1.8,93.075,-47.1,1.415,5099.1,0
104,35.0,0,1,3,1,0,0,0,3,0,451.0,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
105,46.0,4,1,6,0,0,0,0,3,1,662.0,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
106,29.0,0,0,6,0,0,0,1,4,1,187.0,3,999,0,1,1.4,94.465,-41.8,4.96,5228.1,0
107,35.0,0,1,6,0,2,0,0,1,2,82.0,4,999,0,1,1.4,93.444,-36.1,4.962,5228.1,0
108,48.0,2,2,5,0,2,0,0,6,4,606.0,3,999,0,1,-1.8,92.893,-46.2,1.334,5099.1,0
109,31.0,6,2,6,0,0,0,0,8,0,76.0,1,999,0,1,-3.4,92.431,-26.9,0.73,5017.5,0
110,33.0,1,0,2,0,0,2,1,6,2,18.0,6,999,1,0,-1.8,92.893,-46.2,1.266,5099.1,0
111,63.0,5,0,6,0,0,2,0,3,2,317.0,1,999,1,0,-2.9,92.469,-33.6,1.072,5076.2,0
112,38.0,0,1,3,0,2,0,0,7,3,67.0,2,999,0,1,-0.1,93.2,-42.0,4.153,5195.8,0
113,34.0,0,0,3,0,0,0,0,7,3,492.0,2,6,3,2,-3.4,92.649,-30.1,0.716,5017.5,0
114,34.0,7,0,3,0,0,0,1,3,2,212.0,4,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
