,comp1,comp2,label
0,-2.2270906,58.60226,0
1,10.517453,-11.95158,1
2,-14.258389,-19.416208,2
3,-36.115395,6.059836,3
4,42.11126,-7.26737,4
5,-27.434856,14.911935,5
6,32.96978,14.727874,6
7,2.5137973,-42.5916,7
8,-14.655976,-6.279131,8
9,-20.273174,14.618989,9
10,-4.9867735,58.10793,0
11,17.689154,-11.998572,1
12,-33.03217,-29.67085,2
13,-39.637444,-2.0035264,3
14,42.39266,-12.601657,4
15,4.764883,16.163288,5
16,29.299603,18.367914,6
17,10.613755,-42.454594,7
18,-5.0844336,-7.593059,8
19,-29.997211,15.830864,9
20,5.996649,54.82112,0
21,17.872145,-10.276798,1
22,-29.551609,-30.495747,2
23,-39.340237,-7.882104,3
24,40.3606,-8.283177,4
25,8.699119,16.644728,5
26,33.835415,14.56908,6
27,15.706005,-45.052067,7
28,-9.190854,-8.957683,8
29,-29.408577,15.504847,9
30,-1.3082743,51.985516,0
31,-30.15556,16.227726,9
32,-0.51895785,19.774696,5
33,0.14280626,14.133268,5
34,28.974136,17.029562,6
35,0.06649987,14.085592,5
36,4.6812663,52.50128,0
37,-28.83178,12.389119,9
38,-2.2615182,-5.9156675,8
39,-23.078974,22.760567,9
40,-8.37603,-8.802505,8
41,43.24039,-13.448996,4
42,16.529081,-11.769177,1
43,14.779649,-45.062313,7
44,3.015635,-43.49397,7
45,-41.937023,-3.3071697,3
46,0.54819775,13.149222,5
47,15.820061,-10.2551775,1
48,-4.4380765,61.38903,0
49,3.803596,63.001987,0
50,-15.255754,-20.3239,2
51,-13.904779,-20.206606,2
52,14.140453,-44.15396,7
53,-8.430934,-10.838216,8
54,-13.715374,-20.244719,2
55,7.0612574,54.818985,0
56,16.599583,-10.436219,1
57,-14.163278,-19.552332,2
58,33.935833,15.625955,6
59,-38.015312,-3.9343834,3
60,-41.60855,-3.617844,3
61,11.214622,-42.74865,7
62,-41.68595,-4.359573,3
63,-39.47864,-5.07496,3
64,43.702694,-10.1081505,4
65,32.802975,19.63697,6
66,33.34702,15.387239,6
